raw_symbol,instrument_id,date
TQQQ  250411C00088000,1426067158,2025-03-09
TQQQ  250411C00088000,1426067170,2025-03-10
TQQQ  250411C00088000,1426084033,2025-03-11
TQQQ  250411C00088000,1426066948,2025-03-12
TQQQ  250411C00088000,1426066976,2025-03-13
TQQQ  250411C00088000,1426091511,2025-03-14
TQQQ  250411C00088000,1426091511,2025-03-15
TQQQ  250411C00088000,1426091511,2025-03-16
TQQQ  250411C00088000,1426110171,2025-03-17
TQQQ  250411C00088000,1426077573,2025-03-18
TQQQ  250411C00088000,1426075338,2025-03-19
TQQQ  250411C00088000,1426075316,2025-03-20
TQQQ  250411C00088000,1426084363,2025-03-21
TQQQ  250411C00088000,1426084363,2025-03-22
TQQQ  250411C00088000,1426084363,2025-03-23
TQQQ  250411C00088000,1426080173,2025-03-24
TQQQ  250411C00088000,1426087395,2025-03-25
TQQQ  250307C00097000,1426081774,2025-02-26
TQQQ  250307C00097000,1426096986,2025-02-27
TQQQ  250307C00097000,1426090297,2025-02-28
TQQQ  250307C00097000,1426090297,2025-03-01
TQQQ  250307C00097000,1426090297,2025-03-02
TQQQ  250307C00097000,1426086075,2025-03-03
TQQQ  250307C00097000,1426069455,2025-03-04
TQQQ  250307C00097000,1426108014,2025-03-05
TQQQ  250307C00097000,1426101061,2025-03-06
TQQQ  250307C00097000,1426067011,2025-03-07
TQQQ  250307C00097000,1426067011,2025-03-08
TQQQ  250307C00097000,1426067011,2025-03-09
TQQQ  250307C00097000,1426092859,2025-03-10
TQQQ  270115P00103000,1426084133,2025-02-26
TQQQ  270115P00103000,1426099398,2025-02-27
TQQQ  270115P00103000,1426084868,2025-02-28
TQQQ  270115P00103000,1426084868,2025-03-01
TQQQ  270115P00103000,1426084868,2025-03-02
TQQQ  270115P00103000,1426076710,2025-03-03
TQQQ  270115P00103000,1426068817,2025-03-04
TQQQ  270115P00103000,1426101736,2025-03-05
TQQQ  270115P00103000,1426069484,2025-03-06
TQQQ  270115P00103000,1426069550,2025-03-07
TQQQ  270115P00103000,1426069550,2025-03-08
TQQQ  270115P00103000,1426069550,2025-03-09
TQQQ  270115P00103000,1426078230,2025-03-10
TQQQ  270115P00103000,1426101367,2025-03-11
TQQQ  270115P00103000,1426077551,2025-03-12
TQQQ  270115P00103000,1426101924,2025-03-13
TQQQ  270115P00103000,1426102159,2025-03-14
TQQQ  270115P00103000,1426102159,2025-03-15
TQQQ  270115P00103000,1426102159,2025-03-16
TQQQ  270115P00103000,1426109662,2025-03-17
TQQQ  270115P00103000,1426068435,2025-03-18
TQQQ  270115P00103000,1426102522,2025-03-19
TQQQ  270115P00103000,1426102720,2025-03-20
TQQQ  270115P00103000,1426112550,2025-03-21
TQQQ  270115P00103000,1426112550,2025-03-22
TQQQ  270115P00103000,1426112550,2025-03-23
TQQQ  270115P00103000,1426074594,2025-03-24
TQQQ  270115P00103000,1426079951,2025-03-25
TQQQ  250425C00035000,1426114335,2025-03-07
TQQQ  250425C00035000,1426114335,2025-03-08
TQQQ  250425C00035000,1426114335,2025-03-09
TQQQ  250425C00035000,1426097721,2025-03-10
TQQQ  250425C00035000,1426108514,2025-03-11
TQQQ  250425C00035000,1426107681,2025-03-12
TQQQ  250425C00035000,1426099730,2025-03-13
TQQQ  250425C00035000,1426067230,2025-03-14
TQQQ  250425C00035000,1426067230,2025-03-15
TQQQ  250425C00035000,1426067230,2025-03-16
TQQQ  250425C00035000,1426077731,2025-03-17
TQQQ  250425C00035000,1426086933,2025-03-18
TQQQ  250425C00035000,1426100390,2025-03-19
TQQQ  250425C00035000,1426108720,2025-03-20
TQQQ  250425C00035000,1426075940,2025-03-21
TQQQ  250425C00035000,1426075940,2025-03-22
TQQQ  250425C00035000,1426075940,2025-03-23
TQQQ  250425C00035000,1426097614,2025-03-24
TQQQ  250425C00035000,1426087700,2025-03-25
TQQQ  250314P00090500,1442843741,2025-02-26
TQQQ  250314P00090500,1442855337,2025-02-27
TQQQ  250314P00090500,1442866969,2025-02-28
TQQQ  250314P00090500,1442866969,2025-03-01
TQQQ  250314P00090500,1442866969,2025-03-02
TQQQ  250314P00090500,1442851200,2025-03-03
TQQQ  250314P00090500,1442871039,2025-03-04
TQQQ  250314P00090500,1442859628,2025-03-05
TQQQ  250314P00090500,1442860830,2025-03-06
TQQQ  250314P00090500,1442848980,2025-03-07
TQQQ  250314P00090500,1442848980,2025-03-08
TQQQ  250314P00090500,1442848980,2025-03-09
TQQQ  250314P00090500,1442851285,2025-03-10
TQQQ  250314P00090500,1442868229,2025-03-11
TQQQ  250314P00090500,1442874276,2025-03-12
TQQQ  250314P00090500,1442868701,2025-03-13
TQQQ  250314P00090500,1442845931,2025-03-14
TQQQ  250314P00090500,1442845931,2025-03-15
TQQQ  250314P00090500,1442845931,2025-03-16
TQQQ  250314P00090500,1442876505,2025-03-17
TQQQ  250314P00090500,1442876505,2025-03-18
TQQQ  250314P00090500,1442876505,2025-03-19
TQQQ  250314C00110000,1442854699,2025-02-26
TQQQ  250314C00110000,1442848991,2025-02-27
TQQQ  250314C00110000,1442860622,2025-02-28
TQQQ  250314C00110000,1442860622,2025-03-01
TQQQ  250314C00110000,1442860622,2025-03-02
TQQQ  250314C00110000,1442853474,2025-03-03
TQQQ  250314C00110000,1442870378,2025-03-04
TQQQ  250314C00110000,1442848268,2025-03-05
TQQQ  250314C00110000,1442848839,2025-03-06
TQQQ  250314C00110000,1442853801,2025-03-07
TQQQ  250314C00110000,1442853801,2025-03-08
TQQQ  250314C00110000,1442853801,2025-03-09
TQQQ  250314C00110000,1442843017,2025-03-10
TQQQ  250314C00110000,1442860033,2025-03-11
TQQQ  250314C00110000,1442854425,2025-03-12
TQQQ  250314C00110000,1442848755,2025-03-13
TQQQ  250314C00110000,1442843044,2025-03-14
TQQQ  250314C00110000,1442843044,2025-03-15
TQQQ  250314C00110000,1442843044,2025-03-16
TQQQ  250314C00110000,1442862451,2025-03-17
TQQQ  260116C00080000,1442864083,2025-02-26
TQQQ  260116C00080000,1442852617,2025-02-27
TQQQ  260116C00080000,1442846830,2025-02-28
TQQQ  260116C00080000,1442846830,2025-03-01
TQQQ  260116C00080000,1442846830,2025-03-02
TQQQ  260116C00080000,1442848817,2025-03-03
TQQQ  260116C00080000,1442851494,2025-03-04
TQQQ  260116C00080000,1442846340,2025-03-05
TQQQ  260116C00080000,1442862495,2025-03-06
TQQQ  260116C00080000,1442857373,2025-03-07
TQQQ  260116C00080000,1442857373,2025-03-08
TQQQ  260116C00080000,1442857373,2025-03-09
TQQQ  260116C00080000,1442857490,2025-03-10
TQQQ  260116C00080000,1442852279,2025-03-11
